Glucose_exchange_input,Glutamine_exchange_input,G6P_input,FBP_input,G3P_input,PEP_input,lac_exchange_input,gln_input,glu_input,HK_knockdown,solution_output,g6p_change,fbp_change,g3p_change,pep_change,lac_change,gln_change,glu_change
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0890890890890891,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0895895895895896,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0900900900900901,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0905905905905906,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0910910910910911,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0915915915915916,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0920920920920921,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0925925925925926,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0930930930930931,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0935935935935936,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0940940940940941,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0945945945945946,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0950950950950951,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0955955955955956,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0960960960960961,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0965965965965966,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0970970970970971,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0975975975975976,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0980980980980981,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0985985985985986,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0990990990990991,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.0995995995995996,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.1001001001001,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.100600600600601,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.101101101101101,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.101601601601602,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.102102102102102,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.102602602602603,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.103103103103103,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.103603603603604,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.104104104104104,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.104604604604605,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.105105105105105,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.105605605605606,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.106106106106106,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.106606606606607,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.107107107107107,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.107607607607608,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.108108108108108,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.108608608608609,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.109109109109109,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.10960960960961,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.11011011011011,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.110610610610611,0,0,0,0,0,0,0,0
0.223,0.003,3.87,0.62,0.54,0.54,6.4,0.56,0.88,0.111111111111111,0,0,0,0,0,0,0,0
