0: 3723
713: 3989,3925
714: 1250,5121,5401
715: 4835,2585
716: 3645,3683
717: 4840,2597
718: 2188,5154,5409
719: 2612,5411,1287,4597
720: 2616,1298
721: 2625,4848,2371
722: 1310,2417,3564,3559
723: 2445,2641
724: 4485,2656,4728
725: 4517,3022,2667,4766
726: 2686,4855
727: 1882,3569,792,2092
728: 3623,3573
729: 5421
730: 1404,4909
731: 3565
732: 4863,5510
733: 4867
734: 4875,3379
735: 3732,1966
736: 3389,4880,5905
737: 2006,1889,3527
738: 5429,1461
739: 2074,4889
740: 4895,4551
741: 3876
742: 5083,4395,1487
743: 2206,5459
744: 
745: 4908
746: 1971,3739,3742
747: 3662,3826
748: 4029,5742
749: 1510,2348,4032
750: 2771,4968,2827,1561
751: 
752: 3586,3593
753: 2069,4009
754: 3530,3578,3902
755: 2801,1569,2843
756: 5136,2867
757: 5692,5032,4927,5547,2873
758: 4932,2881
759: 3743
760: 3603,1004,1898
761: 4233,1635
762: 2894,1640,3406,5461
763: 4943
764: 1672,3459,2918
765: 4945,5784
766: 5610,5466,1679
767: 4729,4342,5279
768: 3844,3837
769: 2114
770: 
771: 4954
772: 3479,2943
773: 3917
774: 2947,2346
775: 3669
776: 5799,5477
777: 2958,1760
778: 4969,4509
779: 3725,1968,3730
780: 5208,5480
781: 3801,1997
782: 5482,5697,5415
783: 3806,3810
784: 5703,4981,1791
785: 3771,1026,3757
786: 3503,3711
787: 
788: 5483,3011,2826
789: 3762,3764
790: 2612,3018,5486
791: 3918,2044
792: 3504,1882,727
793: 5475,1818,2924,3021
794: 3023,1822
795: 5850
796: 1658,3950,5344
797: 3184,5496
798: 3029,5008
799: 3630
800: 3514,1883,5786,3505
801: 3767
802: 1853,3034
803: 3991
804: 3038,5505
805: 3058,5852,5370,3254
806: 3060,4015
807: 3937,3943
808: 3885
809: 5853
810: 3772,3768
811: 3606,3492
812: 5514
813: 5518
814: 
815: 
816: 1867,3087
817: 3306,4847,5131,5525
818: 4039,3093,5843,4247,1869
819: 
820: 4833,5526
821: 3121,5527,3321
822: 4047,3141
823: 
824: 3977
825: 3978
826: 2090
827: 4059
828: 3727
829: 
830: 3993,2063
831: 3201,1214
832: 5298,5538
833: 1219,3702,2121,3994
834: 3651,1943
835: 3770,1984
836: 3216,3098,5379
837: 3220,1256
838: 4031,1259
839: 4084,3232
840: 3239,5865
841: 2100
842: 
843: 3275,5866
844: 3867,2018,3869
845: 3280,4098
846: 3286,5467
847: 5867,3291,4200
848: 3938
849: 1998,3811,3819
850: 4109,2126,1306
851: 5562,2144
852: 5535,2588,2153
853: 
854: 4409,1339
855: 
856: 2176,5871,5796,2248
857: 
858: 4124
859: 4126
860: 3716
861: 
862: 493
863: 2227,1377
864: 3004,4616
865: 5876
866: 
867: 2098
868: 3097,2253,4147
869: 4920,5629,1630,3385,4696
870: 1413,2261,3222
871: 3857
872: 2104
873: 5880,1422
874: 2282,5579
875: 2105
876: 3552
877: 4166
878: 4170
879: 2088
880: 1634,5569,5882,3399
881: 3641
882: 4958,1465
883: 1468,2352,5886
884: 3419,5589
885: 2111
886: 
887: 4196,2373
888: 2375,4665,5891,1483,3445
889: 
890: 4206
891: 1547,5596
892: 2383,5117,2697,1554
893: 3893
894: 5374,2386,4217
895: 3649,3858
896: 5893
897: 2393,5601
898: 1566,5071,5603,2395
899: 2398,4225
900: 2845,2400
901: 1949,3719
902: 5606,2405,5798
903: 1581,2911,4274,4020
904: 2415,2973
905: 2994,2418
906: 3554
907: 4052,3142
908: 1601,5611
909: 2438,3236,1041
910: 3271,4242
911: 5902,3067,3345,4049
912: 3785
913: 5616
914: 
915: 3751
916: 2490,4237,5632,1662
917: 4245,3453
918: 2499,5620,3457
919: 5677,5283,2503
920: 1931,3595
921: 1710,4281
922: 3680
923: 5906
924: 2516,2340,5445,4393
925: 2521,1737,2392
926: 3786,1990,3783
927: 4346,1746
928: 
929: 
930: 4279,2544,1756
931: 2549,2546
932: 1769,5631
933: 4450,5405
934: 4289
935: 2584,4504,5635
936: 2587,4684,3072
937: 
938: 2000,3821
939: 3631,3525,3589,3558
940: 4302
941: 5908
942: 4307
943: 4312,2629,5198,1180
944: 3246,4663
945: 3656,1944
946: 4319
947: 3875
948: 2640,4330
949: 4337,2311
950: 4911,5223,1299,2647
951: 4707,1303,2362
952: 2665,4757,5513,5607
953: 
954: 
955: 3861
956: 5277,1334
957: 2684,5664,2659
958: 2029,3895
959: 
960: 5916,3499
961: 1357,5841,4916
962: 4937,5918,2899
963: 2733,234,1812,2920,5578,1365
964: 2739,5670
965: 1371,2752,4420
966: 5673
967: 3946
968: 5676,2773,3042
969: 3822,3815
970: 4018
971: 3091,5678
972: 4405,2784
973: 4414,2793
974: 4419,2817
975: 1951,3687,3695
976: 5683,2824
977: 4429,5856,2021
978: 4434,2833
979: 2003,3823,3817
980: 4441
981: 3957
982: 3346,1442,4146
983: 1464,3407,4159
984: 5928,3495,3500
985: 1471,4185
986: 1481,4205
987: 1486,4362,2883,4452
988: 3766
989: 2099
990: 3696,1957
991: 4461,2898,4823
992: 1994,3791,3793
993: 4469
994: 4473,2928
995: 4361,5180
996: 2941,4482,2687
997: 
998: 2945,2711
999: 2963,1560
1000: 3561,1894
1001: 3708
1002: 2989
1003: 
1004: 760,3660
1005: 3619
1006: 5709
1007: 1580,4511
1008: 5712,3015
1009: 2093
1010: 3613,3620
1011: 3062,3816,3206,1044
1012: 3065,5715,3357
1013: 3986
1014: 4718,5209
1015: 5719
1016: 3082
1017: 5721,3096,4817,1652
1018: 4157,4836,3444
